CLUSTER,PLOT,PLANT,PLOT_ID,PLANT_ID,CROP_TYPE,CROP_VARIETY,CROP_STAGE,LAT,LON,FRESH_WEIGHT,DRY_WEIGHT,LEAF_AREA,W/L,SLA,LDMC,LWC,EWT,CHL_VALUE,LAI,A470,A649,A664,Ca,Cb,Total_Chl,Carotenoid
C15,A,P1,C15A,C15AP1,Corn,NK6130,,18.05332,120.54257,30.436,11.133,633.0688667,0.135974597,42.78978712,0.36578394,1.733854307,0.040520284,,,0.42,0.21,0.43,4.6549,2.2687,6.9236,1.65349754
C15,A,P2,C15A,C15AP2,Corn,NK6130,,,,26.26,9.523,549.7366667,0.125314545,43.59135514,0.362642803,1.75753439,0.040318416,,,0.44,0.2,0.32,3.2372,2.8876,6.1248,1.766178606
C15,A,P3,C15A,C15AP3,Corn,NK6130,,,,28.159,10.332,456.0178889,0.121885559,33.4719609,0.366916439,1.725416183,0.051548106,,,0.41,0.24,0.42,4.3656,3.1728,7.5384,1.605374101
C15,B,P1,C15B,C15BP1,Corn,NK6130,,18.05338,120.54236,25.354,8.795,528.91,0.114047969,45.60467879,0.346888065,1.882774304,0.041284674,,,0.32,0.19,0.35,3.6899,2.3697,6.0596,1.156391227
C15,B,P2,C15B,C15BP2,Corn,NK6130,,,,23.508,8.974,500.1126667,0.130102151,42.19935369,0.381742386,1.61956764,0.038378968,,,0.26,0.13,0.2,1.9973,1.9419,3.9392,0.867294955
C15,B,P3,C15B,C15BP3,Corn,NK6130,,,,26.684,8.81,452.2466667,0.131101022,38.68985812,0.330160396,2.028830874,0.052438313,,,0.3,0.21,0.33,3.3189,3.0807,6.3996,1.058435318
C15,C,P1,C15C,C15CP1,Corn,NK6130,,18.05315,120.54241,22.225,8.386,564.259,0.118516908,50.81504889,0.377322835,1.650250417,0.032475624,,,0.16,0.06,0.14,1.559,0.509,2.068,0.365852677
C15,C,P2,C15C,C15CP2,Corn,NK6130,,,,14.914,5.583,346.8373,0.115636032,47.01199624,0.374346252,1.671323661,0.035551004,,,0.25,0.1,0.17,1.7522,1.3626,3.1148,0.818807646
C15,C,P3,C15C,C15CP3,Corn,NK6130,,,,20.73,7.827,433.7391444,0.124742793,42.13597483,0.377568741,1.648524339,0.039123916,,,0.26,0.08,0.14,1.4552,1.0576,2.5128,0.871757697
C16,A,P1,C16A,C16AP1,Corn,NK6410,,18.0531,120.54241,21.833,8.372,422.44,0.146492862,38.19983576,0.383456236,1.607859532,0.042090745,,,0.12,0.02,0.02,0.1634,0.3862,0.5496,0.175321505
C16,A,P2,C16A,C16AP2,Corn,NK6410,,,,21.732,7.835,434.8118556,0.135567981,42.01666879,0.360528253,1.773707722,0.042214382,,,0.09,0.04,0.08,0.8612,0.4476,1.3088,0.018061838
C16,A,P3,C16A,C16AP3,Corn,NK6410,,,,35.202,11.394,661.8733333,0.13507619,43.62794014,0.323674791,2.0895208,0.047894097,,,0.15,0.07,0.13,1.3735,0.8645,2.238,0.316874722
C16,B,P1,C16B,C16BP1,Corn,NK6410,,18.05313,120.54096,19.285,7.304,387.4620556,0.138807571,40.24231585,0.378739953,1.640334064,0.040761423,,,0.61,0.33,0.66,7.1049,3.6927,10.7976,2.592924308
C16,B,P2,C16B,C16BP2,Corn,NK6410,,,,22.543,8.607,410.5694,0.133772563,36.3637911,0.381803664,1.619147206,0.044526359,,,0.39,0.21,0.43,4.6549,2.2687,6.9236,1.501982389
C16,B,P3,C16B,C16BP3,Corn,NK6410,,,,19.897,7.419,413.9943778,0.130301597,42.16537606,0.372870282,1.68189783,0.039888126,,,0.48,0.26,0.55,5.9986,2.6658,8.6644,1.945466071
C16,C,P1,C16C,C16CP1,Corn,NK6410,,18.0532,120.54078,33.659,11.357,356.3358,0.130606254,23.78649952,0.33741347,1.963722814,0.082556192,,,0.16,0.07,0.12,1.2399,0.9457,2.1856,0.368479611
C16,C,P2,C16C,C16CP2,Corn,NK6410,,,,29.699,8.918,437.25,0.12864494,37.33238394,0.300279471,2.330230993,0.062418489,,,0.11,0.05,0.03,0.1413,1.1279,1.2692,0.124998389
C16,C,P3,C16C,C16CP3,Corn,NK6410,,,,19.263,7.38,381.5074,0.133789014,39.44995257,0.383117894,1.610162602,0.040815324,,,0.18,0.1,0.18,1.8858,1.2814,3.1672,0.464172455
C17,A,P1,C17A,C17AP1,Corn,NK8840,,18.0535,120.54093,23.657,8.801,355.5968,0.115582933,30.77100614,0.372025193,1.687990001,0.05485651,,,0.37,0.16,0.32,3.4448,1.7904,5.2352,1.410934222
C17,A,P2,C17A,C17AP2,Corn,NK8840,,,,21.043,7.66,437.8733333,0.135404455,43.0956201,0.364016538,1.747127937,0.040540731,,,0.52,0.3,0.48,4.8558,4.3314,9.1872,2.156894172
C17,A,P3,C17A,C17AP3,Corn,NK8840,,,,41.605,15.843,769.3216667,0.146363218,36.51214259,0.380795577,1.626080919,0.044535346,,,0.59,0.4,0.63,6.3408,5.8564,12.1972,2.498204525
C17,B,P1,C17B,C17BP1,Corn,NK8840,,18.0535,120.54079,21.208,7.484,613.0158667,0.118470806,61.63148049,0.352885704,1.833778728,0.02975393,,,0.35,0.12,0.27,2.9844,1.0992,4.0836,1.313714283
C17,B,P2,C17B,C17BP2,Corn,NK8840,,,,20.431,7.525,453.7866667,0.138694639,45.19169435,0.368312858,1.715083056,0.037951289,,,0.29,0.13,0.28,3.0661,1.2923,4.3584,1.010011399
C17,B,P3,C17B,C17BP3,Corn,NK8840,,,,29.513,9.995,507.0581444,0.141006115,38.11651576,0.338664317,1.952776388,0.051231765,,,0.38,0.18,0.39,4.2762,1.7706,6.0468,1.454594919
C17,C,P1,C17C,C17CP1,Corn,NK8840,,18.05356,120.5406,26.57,9.888,538.6733333,0.116838488,41.26411812,0.37214904,1.687095469,0.040885291,,,0.24,0.12,0.21,2.1828,1.5864,3.7692,0.764757758
C17,C,P2,C17C,C17CP2,Corn,NK8840,,,,25.566,9.68,556.2007333,0.103237965,43.26631198,0.378627865,1.641115702,0.037930566,,,0.43,0.21,0.44,4.7885,2.1875,6.976,1.702902753
C17,C,P3,C17C,C17CP3,Corn,NK8840,,,,38.567,13.67,686.7129,0.157170953,37.75794075,0.354448103,1.821287491,0.04823588,,,0.5,0.2,0.47,5.2412,1.6696,6.9108,2.052711333
C18,A,P1,C18A,C18AP1,Corn,,,,,33.462,11.164,620.4263,0.105462842,41.64222501,0.33363218,1.997312791,0.047963642,,,0.31,0.08,0.13,1.3216,1.1388,2.4604,1.125382788
C18,A,P2,C18A,C18AP2,Corn,,,,,26.343,7.835,764.7971667,0.092018282,73.43479579,0.297422465,2.362220804,0.032167595,,,0.3,0.1,0.2,2.153,1.119,3.272,1.068033384
C18,A,P3,C18A,C18AP3,Corn,,,,,39.039,11.039,734.2778,0.094318096,49.96784355,0.282768514,2.536461636,0.050761879,,,0.26,0.11,0.18,1.8339,1.5557,3.3896,0.868640116
C18,B,P1,C18B,C18BP1,Corn,,,,,24.71,9.14,492.75,0.108148148,40.55666028,0.369890732,1.703501094,0.042002992,,,0.23,0.11,0.22,2.3683,1.2309,3.5992,0.712725611
C18,B,P2,C18B,C18BP2,Corn,,,,,36.635,11.446,677.2274444,0.090861004,44.413769,0.312433465,2.200681461,0.049549532,,,0.27,0.09,0.19,2.0713,0.9259,2.9972,0.917190813
C18,B,P3,C18B,C18BP3,Corn,,,,,30.743,9.395,607.2933333,0.090170593,48.87541245,0.305598022,2.272272485,0.046491116,,,0.26,0.15,0.3,3.2295,1.6785,4.908,0.857151086
C18,C,P1,C18C,C18CP1,Corn,,,,,52.858,16.537,852.7326889,0.114673367,38.77395386,0.312857089,2.196347584,0.056644922,,,0.3,0.15,0.35,3.8975,1.2725,5.17,1.053672096
C18,C,P2,C18C,C18CP2,Corn,,,,,45.126,10.716,748.3783333,0.082922807,52.75135312,0.237468422,3.211086226,0.060872111,,,0.27,0.09,0.2,2.2049,0.8447,3.0496,0.916090975
C18,C,P3,C18C,C18CP3,Corn,,,,,38.68,12.062,840.1777778,0.097841727,52.24258,0.311840745,2.206765047,0.042240736,,,0.29,0.15,0.24,2.4279,2.1657,4.5936,1.015265268
C19,A,P1,C19A,C19AP1,Corn,,,,,38.802,12.002,707.5334,0.112229219,44.26404974,0.309313953,2.232961173,0.050446382,,,0.17,0.13,0.16,1.4629,2.2667,3.7296,0.417148854
C19,A,P2,C19A,C19AP2,Corn,,,,,44.9,13.718,821.4836,0.107050989,45.08754192,0.305523385,2.273071876,0.050414633,,,0.1,0.03,0.06,0.6459,0.3357,0.9816,0.070339308
C19,A,P3,C19A,C19AP3,Corn,,,,,42.538,12.183,745.9379889,0.095095973,46.25529631,0.286402746,2.491586637,0.053865975,,,0.24,0.11,0.21,2.2347,1.3121,3.5468,0.7643305
C19,B,P1,C19B,C19BP1,Corn,,,,,42.26,13.215,728.6335,0.10124558,41.6,0.312707052,2.197881196,0.052833683,,,0.32,0.18,0.36,3.8754,2.0142,5.8896,1.154864131
C19,B,P2,C19B,C19BP2,Corn,,,,,32.889,10.168,673.0745778,0.113326125,49.8556845,0.309161118,2.234559402,0.044820554,,,0.17,0.03,0.08,0.9131,0.1733,1.0864,0.421674985
C19,B,P3,C19B,C19BP3,Corn,,,,,44.245,13.89,697.6652222,0.102919028,37.83062455,0.313933778,2.185385169,0.057767621,,,0.12,0.05,0.09,0.9429,0.6407,1.5836,0.168904409
C19,C,P1,C19C,C19CP1,Corn,,,,,72.41,22.224,1052.511,0.106311558,35.53666194,0.306918934,2.258189345,0.063545342,,,0.33,0.2,0.37,3.9052,2.4816,6.3868,1.205123859
C19,C,P2,C19C,C19CP2,Corn,,,,,42.609,12.015,752.3453333,0.088887681,46.98369746,0.28198268,2.546317104,0.054195758,,,0.16,0.05,0.13,1.4773,0.3159,1.7932,0.366525258
C19,C,P3,C19C,C19CP3,Corn,,,,,41.586,9.31,626.5796667,0.08950996,50.62336198,0.223873419,3.466809882,0.068482411,,,0.23,0.09,0.2,2.2049,0.8447,3.0496,0.714070773
